$Base,$HostnameLookups,$KeepAlive,$EnableSendfile,$FollowSymLinks,$AccessLog,$ExtendedStatus,$InMemory,$Handle,$<Performance
1,0,0,0,0,0,0,0,0,1200
1,0,1,0,1,0,0,0,0,2100
1,0,1,1,0,0,1,1,0,2310
1,0,0,1,0,1,0,1,0,1260
1,0,0,1,0,1,1,1,0,1140
1,0,1,1,0,1,0,1,0,2100
1,0,1,1,0,1,1,1,0,1980
1,1,0,1,0,0,0,1,0,1110
1,1,1,1,0,0,0,1,0,2160
1,1,0,1,0,1,0,1,0,990
1,1,1,1,0,1,0,1,0,1890
1,1,0,1,0,0,1,1,0,1020
1,0,0,0,1,1,0,0,0,1020
1,1,0,1,0,1,1,1,0,960
1,1,1,1,0,0,1,1,0,2160
1,1,1,1,0,1,1,1,0,1860
1,0,0,1,1,0,0,1,0,1470
1,0,1,1,1,0,0,1,0,2640
1,0,0,1,1,0,1,1,0,1380
1,0,1,1,1,0,1,1,0,2430
1,1,0,1,1,0,0,1,0,1140
1,1,0,1,1,0,1,1,0,1080
1,1,1,1,1,0,0,1,0,2340
1,0,1,0,1,1,0,0,0,1830
1,1,1,1,1,0,1,1,0,2190
1,0,0,1,1,1,0,1,0,1260
1,0,1,1,1,1,0,1,0,2190
1,1,0,1,1,1,0,1,0,1020
1,1,1,1,1,1,0,1,0,2100
1,0,0,1,1,1,1,1,0,1230
1,1,0,1,1,1,1,1,0,990
1,0,1,1,1,1,1,1,0,2070
1,1,1,1,1,1,1,1,0,1860
1,0,0,0,0,0,0,0,1,1230
1,0,0,0,1,0,1,0,0,1140
1,0,0,0,0,0,1,0,1,1080
1,0,0,0,0,1,0,0,1,1050
1,0,0,0,0,1,1,0,1,1080
1,0,0,0,1,0,0,0,1,1260
1,0,0,0,1,1,0,0,1,1200
1,0,0,0,1,0,1,0,1,1200
1,0,0,0,1,1,1,0,1,1050
1,0,0,1,0,0,0,0,1,1200
1,0,0,1,0,0,1,0,1,1140
1,0,0,1,1,0,0,0,1,1200
1,0,0,0,1,1,1,0,0,990
1,0,0,1,1,0,1,0,1,1230
1,0,0,1,0,1,0,0,1,1110
1,0,0,1,1,1,0,0,1,1140
1,0,0,1,0,1,1,0,1,1050
1,0,0,1,1,1,1,0,1,1110
1,0,1,0,0,0,0,0,1,1200
1,0,1,0,0,0,1,0,1,1350
1,0,1,0,0,1,0,0,1,1230
1,0,1,0,0,1,1,0,1,1260
1,0,1,1,0,0,0,0,1,1290
1,0,1,0,1,0,1,0,0,1950
1,0,1,1,0,1,0,0,1,1020
1,0,1,1,0,0,1,0,1,1320
1,0,1,1,0,1,1,0,1,1230
1,0,1,0,1,0,0,0,1,1380
1,0,1,0,1,0,1,0,1,1110
1,0,1,1,1,0,0,0,1,1200
1,0,1,1,1,0,1,0,1,1110
1,0,1,0,1,1,0,0,1,1350
1,0,1,1,1,1,0,0,1,1200
1,0,1,0,1,1,1,0,1,1230
1,0,1,0,1,1,1,0,0,1740
1,0,1,1,1,1,1,0,1,1170
1,1,0,0,0,0,0,0,1,990
1,1,0,0,0,0,1,0,1,960
1,1,0,0,0,1,0,0,1,930
1,1,0,0,0,1,1,0,1,870
1,1,0,0,1,0,0,0,1,1020
1,1,0,0,1,1,0,0,1,930
1,1,0,0,1,0,1,0,1,960
1,1,0,0,1,1,1,0,1,900
1,1,1,0,0,0,0,0,1,1140
1,0,0,1,0,0,0,0,0,1320
1,1,1,0,0,0,1,0,1,1020
1,1,1,0,1,0,0,0,1,1320
1,1,1,0,1,0,1,0,1,1170
1,1,1,0,0,1,0,0,1,1200
1,1,1,0,1,1,0,0,1,1080
1,1,1,0,0,1,1,0,1,1140
1,1,1,0,1,1,1,0,1,1500
1,1,0,1,0,0,0,0,1,990
1,1,0,1,0,0,1,0,1,960
1,1,0,1,0,1,0,0,1,930
1,0,1,1,0,0,0,0,0,2220
1,1,0,1,0,1,1,0,1,870
1,1,1,1,0,0,0,0,1,1170
1,1,1,1,0,1,0,0,1,1080
1,1,1,1,0,0,1,0,1,1170
1,1,1,1,0,1,1,0,1,1470
1,1,0,1,1,0,0,0,1,1050
1,1,0,1,1,0,1,0,1,990
1,1,1,1,1,0,0,0,1,1050
1,1,1,1,1,0,1,0,1,1200
1,1,0,1,1,1,0,0,1,930
1,0,0,1,0,0,1,0,0,1230
1,1,1,1,1,1,0,0,1,1170
1,1,0,1,1,1,1,0,1,870
1,1,1,1,1,1,1,0,1,870
1,0,1,0,0,0,0,0,0,2040
1,0,1,1,0,0,1,0,0,2130
1,0,0,1,1,0,0,0,0,1350
1,0,0,1,1,0,1,0,0,1170
1,0,1,1,1,0,0,0,0,2370
1,0,1,1,1,0,1,0,0,2190
1,0,0,1,0,1,0,0,0,1170
1,0,1,1,0,1,0,0,0,1980
1,0,0,1,1,1,0,0,0,1200
1,0,1,1,1,1,0,0,0,2040
1,0,0,1,0,1,1,0,0,1080
1,0,0,0,0,0,1,0,0,1110
1,0,0,1,1,1,1,0,0,1110
1,0,1,1,0,1,1,0,0,1830
1,0,1,1,1,1,1,0,0,1890
1,1,0,0,0,0,0,0,0,990
1,1,1,0,0,0,0,0,0,1950
1,1,0,0,0,0,1,0,0,900
1,1,1,0,0,0,1,0,0,1830
1,1,0,0,0,1,0,0,0,900
1,1,0,0,0,1,1,0,0,840
1,1,1,0,0,1,0,0,0,1710
1,0,1,0,0,0,1,0,0,1920
1,1,1,0,0,1,1,0,0,1620
1,1,0,1,0,0,0,0,0,1050
1,1,1,1,0,0,0,0,0,2130
1,1,0,1,0,1,0,0,0,930
1,1,1,1,0,1,0,0,0,1890
1,1,0,1,0,0,1,0,0,960
1,1,0,1,0,1,1,0,0,900
1,1,1,1,0,0,1,0,0,2010
1,1,1,1,0,1,1,0,0,1770
1,1,0,0,1,0,0,0,0,960
1,0,0,0,0,1,0,0,0,1080
1,1,1,0,1,0,0,0,0,1950
1,1,0,0,1,0,1,0,0,930
1,1,1,0,1,0,1,0,0,1890
1,1,0,1,1,0,0,0,0,1080
1,1,0,1,1,0,1,0,0,990
1,1,1,1,1,0,0,0,0,2220
1,1,1,1,1,0,1,0,0,2070
1,1,0,0,1,1,0,0,0,900
1,1,1,0,1,1,0,0,0,1770
1,1,0,1,1,1,0,0,0,960
1,0,0,0,0,1,1,0,0,1020
1,1,1,1,1,1,0,0,0,1920
1,1,0,0,1,1,1,0,0,840
1,1,0,1,1,1,1,0,0,900
1,1,1,0,1,1,1,0,0,1680
1,1,1,1,1,1,1,0,0,1800
1,0,0,0,0,0,0,1,0,1410
1,0,1,0,0,0,0,1,0,2490
1,0,0,0,0,0,1,1,0,1290
1,0,1,0,0,0,1,1,0,2250
1,0,0,0,0,1,0,1,0,1260
1,0,1,0,0,1,0,0,0,1770
1,0,0,0,0,1,1,1,0,1140
1,0,1,0,0,1,0,1,0,2130
1,0,1,0,0,1,1,1,0,1980
1,0,0,0,1,0,0,1,0,1410
1,0,1,0,1,0,0,1,0,2400
1,0,0,0,1,1,0,1,0,1320
1,0,1,0,1,1,0,1,0,2190
1,0,0,0,1,0,1,1,0,1380
1,0,0,0,1,1,1,1,0,1230
1,0,1,0,1,0,1,1,0,2430
1,0,1,0,0,1,1,0,0,1680
1,0,1,0,1,1,1,1,0,2100
1,1,0,0,0,0,0,1,0,1110
1,1,1,0,0,0,0,1,0,2280
1,1,0,0,0,0,1,1,0,1020
1,1,1,0,0,0,1,1,0,2160
1,1,0,0,1,0,0,1,0,1140
1,1,0,0,1,0,1,1,0,1050
1,1,1,0,1,0,0,1,0,2280
1,1,1,0,1,0,1,1,0,2190
1,1,0,0,0,1,0,1,0,1020
1,0,0,0,1,0,0,0,0,1200
1,1,1,0,0,1,0,1,0,1980
1,1,0,0,1,1,0,1,0,1020
1,1,1,0,1,1,0,1,0,2070
1,1,0,0,0,1,1,1,0,930
1,1,0,0,1,1,1,1,0,960
1,1,1,0,0,1,1,1,0,1860
1,1,1,0,1,1,1,1,0,1920
1,0,0,1,0,0,0,1,0,1410
1,0,1,1,0,0,0,1,0,2460
1,0,0,1,0,0,1,1,0,1320
